winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency
GE,0.0,31.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,36.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,30.0,0.0,24.0,0.0,15.0,0.0,7.0,0.0,1.6
None,0.0,67.0,8.0,23.0,10.0,35.0,3.0,6.0,0.8,0.6571428571428571
GE,0.0,43.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,33.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,48.0,0.0,24.0,0.0,25.0,0.0,7.0,0.0,0.96
GE,0.0,42.0,4.0,24.0,2.0,21.0,1.0,7.0,2.0,1.1428571428571428
US,0.0,30.0,14.0,16.0,13.0,12.0,5.0,5.0,1.0769230769230769,1.3333333333333333
GE,0.0,51.0,5.0,24.0,5.0,22.0,2.0,7.0,1.0,1.0909090909090908
GE,0.0,27.0,2.0,24.0,4.0,13.0,1.0,7.0,0.5,1.8461538461538463
US,0.0,25.0,14.0,3.0,16.0,8.0,5.0,1.0,0.875,0.375
US,0.0,29.0,14.0,10.0,19.0,9.0,5.0,3.0,0.7368421052631579,1.1111111111111112
US,0.0,28.0,14.0,2.0,17.0,10.0,5.0,1.0,0.8235294117647058,0.2
US,0.0,27.0,14.0,7.0,16.0,9.0,5.0,2.0,0.875,0.7777777777777778
None,0.0,61.0,13.0,18.0,18.0,18.0,4.0,5.0,0.7222222222222222,1.0
None,0.0,65.0,8.0,20.0,19.0,33.0,3.0,6.0,0.42105263157894735,0.6060606060606061
US,0.0,20.0,14.0,2.0,11.0,8.0,5.0,1.0,1.2727272727272727,0.25
US,0.0,47.0,14.0,13.0,29.0,17.0,5.0,4.0,0.4827586206896552,0.7647058823529411
US,0.0,31.0,14.0,8.0,20.0,10.0,5.0,3.0,0.7,0.8
US,0.0,28.0,14.0,3.0,16.0,11.0,5.0,1.0,0.875,0.2727272727272727
US,0.0,31.0,14.0,3.0,21.0,9.0,5.0,1.0,0.6666666666666666,0.3333333333333333
GE,0.0,28.0,7.0,24.0,4.0,12.0,2.0,7.0,1.75,2.0
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
None,0.0,62.0,8.0,20.0,18.0,33.0,3.0,6.0,0.4444444444444444,0.6060606060606061
US,0.0,26.0,14.0,3.0,16.0,9.0,5.0,1.0,0.875,0.3333333333333333
US,0.0,31.0,14.0,9.0,19.0,11.0,5.0,3.0,0.7368421052631579,0.8181818181818182
US,0.0,34.0,14.0,6.0,21.0,12.0,5.0,2.0,0.6666666666666666,0.5
US,0.0,34.0,14.0,2.0,22.0,11.0,5.0,1.0,0.6363636363636364,0.18181818181818182
None,0.0,51.0,11.0,20.0,25.0,21.0,4.0,6.0,0.44,0.9523809523809523
None,0.0,78.0,11.0,12.0,19.0,18.0,4.0,4.0,0.5789473684210527,0.6666666666666666
GE,0.0,50.0,0.0,24.0,0.0,26.0,0.0,7.0,0.0,0.9230769230769231
GE,0.0,51.0,8.0,24.0,13.0,24.0,3.0,7.0,0.6153846153846154,1.0
US,0.0,50.0,14.0,18.0,30.0,19.0,5.0,5.0,0.4666666666666667,0.9473684210526315
None,0.0,61.0,11.0,20.0,17.0,20.0,4.0,6.0,0.6470588235294118,1.0
GE,0.0,41.0,7.0,24.0,8.0,20.0,2.0,7.0,0.875,1.2
US,0.0,34.0,14.0,3.0,22.0,11.0,5.0,1.0,0.6363636363636364,0.2727272727272727
None,0.0,51.0,12.0,20.0,30.0,20.0,4.0,6.0,0.4,1.0
