winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency,good_trade,bad_trade,selectivity,zero_dmg
None,0.0,60.0,13.0,20.0,19.0,20.0,4.0,6.0,0.6842105263157895,1.0,0.42105263157894735,0.5789473684210527,0.8,0.5789473684210527
US,0.0,83.0,14.0,15.0,24.0,23.0,5.0,4.0,0.5833333333333334,0.6521739130434783,0.42857142857142855,0.5714285714285714,0.6086956521739131,0.5714285714285714
None,0.0,91.0,9.0,20.0,33.0,29.0,3.0,5.0,0.2727272727272727,0.6896551724137931,0.2777777777777778,0.7222222222222222,0.0,0.7222222222222222
None,0.0,114.0,9.0,12.0,31.0,38.0,2.0,3.0,0.2903225806451613,0.3157894736842105,0.4375,0.5625,0.0,0.5625
GE,0.0,91.0,8.0,24.0,30.0,33.0,2.0,7.0,0.26666666666666666,0.7272727272727273,0.3,0.7,0.7567567567567568,0.7
None,0.0,104.0,7.0,21.0,35.0,38.0,1.0,5.0,0.2,0.5526315789473685,0.3157894736842105,0.6842105263157895,0.8333333333333334,0.6842105263157895
None,0.0,88.0,11.0,14.0,29.0,27.0,4.0,4.0,0.3793103448275862,0.5185185185185185,0.4444444444444444,0.5555555555555556,0.7307692307692307,0.5555555555555556
GE,0.0,75.0,7.0,24.0,21.0,24.0,2.0,7.0,0.3333333333333333,1.0,0.25,0.75,0.6363636363636364,0.75
GE,0.0,68.0,6.0,24.0,15.0,25.0,2.0,7.0,0.4,0.96,0.2857142857142857,0.7142857142857143,0.6052631578947368,0.7142857142857143
GE,0.0,80.0,4.0,24.0,22.0,31.0,1.0,7.0,0.18181818181818182,0.7741935483870968,0.21052631578947367,0.7894736842105263,0.7804878048780488,0.7894736842105263
None,0.0,88.0,10.0,15.0,18.0,29.0,3.0,4.0,0.5555555555555556,0.5172413793103449,0.3888888888888889,0.6111111111111112,0.0,0.6111111111111112
GE,0.0,75.0,8.0,24.0,20.0,27.0,2.0,7.0,0.4,0.8888888888888888,0.2631578947368421,0.7368421052631579,0.7,0.7368421052631579
US,0.0,58.0,14.0,17.0,14.0,18.0,5.0,5.0,1.0,0.9444444444444444,0.47368421052631576,0.5263157894736842,0.6341463414634146,0.5263157894736842
None,0.0,96.0,13.0,12.0,17.0,26.0,4.0,2.0,0.7647058823529411,0.46153846153846156,0.375,0.625,0.6190476190476191,0.625
None,0.0,84.0,12.0,21.0,30.0,28.0,4.0,5.0,0.4,0.75,0.42857142857142855,0.5714285714285714,0.8,0.5714285714285714
None,0.0,95.0,11.0,20.0,38.0,30.0,3.0,5.0,0.2894736842105263,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666
GE,0.0,81.0,6.0,24.0,16.0,27.0,2.0,7.0,0.375,0.8888888888888888,0.19047619047619047,0.8095238095238095,0.4722222222222222,0.8095238095238095
None,0.0,90.0,11.0,15.0,21.0,26.0,3.0,4.0,0.5238095238095238,0.5769230769230769,0.3684210526315789,0.631578947368421,0.5,0.631578947368421
