experiment_id,episode_id,winner,final_vp,steps,rl_damage,enemy_damage
exp_hrl_v1,85,US,8,69,0,0
exp_hrl_v1,86,US,0,26,0,0
exp_hrl_v1,87,US,0,34,0,0
exp_hrl_v1,88,US,0,42,0,0
exp_hrl_v1,89,US,0,40,0,0
exp_hrl_v1,90,US,0,47,0,0
exp_hrl_v1,91,US,4,68,0,0
exp_hrl_v1,92,US,4,86,0,0
exp_hrl_v1,93,US,0,36,0,0
exp_hrl_v1,94,US,20,105,0,0
exp_hrl_v1,95,US,8,52,0,0
exp_hrl_v1,96,US,8,66,0,0
exp_hrl_v1,97,US,0,39,0,0
exp_hrl_v1,98,US,16,82,0,0
exp_hrl_v1,99,US,0,40,0,0
exp_hrl_v1,100,US,4,55,0,0
exp_hrl_v1,101,US,12,91,0,0
exp_hrl_v1,102,US,4,76,0,0
exp_hrl_v1,103,US,12,108,0,0
exp_hrl_v1,104,US,4,76,0,0
exp_hrl_v1,105,US,8,81,0,0
exp_hrl_v1,106,US,16,85,0,0
exp_hrl_v1,107,US,24,111,0,0
exp_hrl_v1,108,US,12,73,0,0
exp_hrl_v1,109,US,12,86,0,0
exp_hrl_v1,110,US,4,75,0,0
exp_hrl_v1,111,US,16,87,0,0
exp_hrl_v1,112,,32,132,0,0
exp_hrl_v1,113,US,4,59,0,0
exp_hrl_v1,114,US,4,64,0,0
exp_hrl_v1,115,US,12,68,0,0
exp_hrl_v1,116,US,8,62,0,0
exp_hrl_v1,117,US,0,39,0,0
exp_hrl_v1,118,US,8,85,0,0
exp_hrl_v1,119,US,0,38,0,0
exp_hrl_v1,120,US,16,92,0,0
exp_hrl_v1,121,US,16,80,0,0
exp_hrl_v1,122,US,16,85,0,0
exp_hrl_v1,123,US,0,70,0,0
exp_hrl_v1,124,US,4,62,0,0
exp_hrl_v1,125,US,16,85,0,0
exp_hrl_v1,126,US,16,80,0,0
exp_hrl_v1,127,US,0,58,0,0
exp_hrl_v1,128,US,0,65,0,0
exp_hrl_v1,129,US,4,67,0,0
exp_hrl_v1,130,US,0,42,0,0
exp_hrl_v1,131,US,8,76,0,0
exp_hrl_v1,132,US,4,65,0,0
exp_hrl_v1,133,US,8,71,0,0
exp_hrl_v1,134,US,0,27,0,0
exp_hrl_v1,135,US,0,28,0,0
exp_hrl_v1,136,US,12,72,0,0
exp_hrl_v1,137,US,8,80,0,0
exp_hrl_v1,138,US,12,75,0,0
exp_hrl_v1,139,US,12,75,0,0
exp_hrl_v1,140,US,8,69,0,0
exp_hrl_v1,141,US,4,66,0,0
exp_hrl_v1,142,US,8,79,0,0
exp_hrl_v1,143,US,8,67,0,0
exp_hrl_v1,144,US,8,76,0,0
exp_hrl_v1,145,US,4,50,0,0
exp_hrl_v1,146,US,0,45,0,0
exp_hrl_v1,147,US,8,69,0,0
exp_hrl_v1,148,US,4,86,0,0
exp_hrl_v1,149,US,16,82,0,0
exp_hrl_v1,150,US,4,74,0,0
exp_hrl_v1,151,US,8,76,0,0
exp_hrl_v1,152,US,8,76,0,0
exp_hrl_v1,153,US,20,102,0,0
exp_hrl_v1,154,US,20,95,0,0
exp_hrl_v1,155,US,4,56,0,0
exp_hrl_v1,156,US,0,37,0,0
exp_hrl_v1,157,US,12,66,0,0
exp_hrl_v1,158,US,0,70,0,0
exp_hrl_v1,159,US,12,76,0,0
exp_hrl_v1,160,US,0,53,0,0
exp_hrl_v1,161,US,16,77,0,0
exp_hrl_v1,162,US,8,70,0,0
exp_hrl_v1,163,US,0,35,0,0
exp_hrl_v1,164,US,4,76,0,0
exp_hrl_v1,165,US,12,74,0,0
exp_hrl_v1,166,US,12,77,0,0
exp_hrl_v1,167,US,12,82,0,0
exp_hrl_v1,168,US,12,76,0,0
exp_hrl_v1,169,US,0,70,0,0
exp_hrl_v1,170,US,0,42,0,0
exp_hrl_v1,171,US,12,77,0,0
exp_hrl_v1,172,US,12,89,0,0
exp_hrl_v1,173,US,0,51,0,0
exp_hrl_v1,174,US,0,43,0,0
exp_hrl_v1,175,US,8,64,0,0
exp_hrl_v1,176,US,16,101,0,0
exp_hrl_v1,177,US,0,43,0,0
exp_hrl_v1,178,US,16,85,0,0
exp_hrl_v1,179,US,16,85,0,0
exp_hrl_v1,180,US,12,88,0,0
exp_hrl_v1,181,US,20,101,0,0
exp_hrl_v1,182,US,8,69,0,0
exp_hrl_v1,183,US,4,64,0,0
exp_hrl_v1,184,US,0,45,0,0
exp_hrl_v1,185,US,16,85,0,0
exp_hrl_v1,186,,8,114,0,0
exp_hrl_v1,187,US,0,47,0,0
exp_hrl_v1,188,US,0,88,0,0
exp_hrl_v1,189,US,0,37,0,0
exp_hrl_v1,190,US,12,76,0,0
exp_hrl_v1,191,US,4,46,0,0
exp_hrl_v1,192,US,0,44,0,0
exp_hrl_v1,193,US,0,58,0,0
exp_hrl_v1,194,US,12,76,0,0
exp_hrl_v1,195,US,4,52,0,0
exp_hrl_v1,196,US,16,85,0,0
exp_hrl_v1,197,US,0,42,0,0
exp_hrl_v1,198,US,8,91,0,0
exp_hrl_v1,199,US,0,69,0,0
